"Campaign name",Age,Gender,Day,Reach,Impressions,Frequency,"Amount spent (USD)","Attribution setting","Clicks (all)","CTR (all)","Reporting starts","Reporting ends"
,,,,443984,2540648,5.72238639,17918.48,,77743,3.05996738,2026-07-01,2026-09-03
"Freed by Real State",35-44,unknown,2026-09-03,1,1,1,0,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",35-44,female,2026-09-03,11,12,1.09090909,0.07082111,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Today's Dental - 2026",65+,female,2026-09-03,167,278,1.66467066,3.62375358,"7-day click or 1-day view",4,1.43884892,2026-09-03,2026-09-03
"Today's Dental - 2026",35-44,female,2026-09-03,89,146,1.64044944,0.62092407,"7-day click or 1-day view",1,0.68493151,2026-09-03,2026-09-03
"Today's Dental - 2026",45-54,male,2026-09-03,96,162,1.6875,0.65146132,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Today's Dental - 2026",55-64,male,2026-09-03,89,121,1.35955056,1.28256447,"7-day click or 1-day view",3,2.47933884,2026-09-03,2026-09-03
"Today's Dental - 2026",18-24,male,2026-09-03,26,31,1.19230769,0.19340258,"7-day click or 1-day view",1,3.22580645,2026-09-03,2026-09-03
"Today's Dental - 2026",35-44,male,2026-09-03,68,74,1.08823529,0.45805874,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Today's Dental - 2026",25-34,unknown,2026-09-03,1,1,1,0,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Today's Dental - 2026",18-24,unknown,2026-09-03,1,1,1,0.01017908,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",25-34,unknown,2026-09-03,1,1,1,0,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",25-34,female,2026-09-03,6,6,1,0.0202346,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Today's Dental - 2026",18-24,female,2026-09-03,14,19,1.35714286,0.14250716,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",55-64,female,2026-09-03,37,46,1.24324324,0.54633431,"7-day click or 1-day view",2,4.34782609,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",35-44,male,2026-09-03,26,27,1.03846154,0.11129032,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",65+,female,2026-09-03,63,72,1.14285714,1.17360704,"7-day click or 1-day view",2,2.77777778,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",25-34,male,2026-09-03,57,59,1.03508772,0.37434018,"7-day click or 1-day view",1,1.69491525,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",65+,male,2026-09-03,26,27,1.03846154,0.32375367,"7-day click or 1-day view",1,3.7037037,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",18-24,male,2026-09-03,64,69,1.078125,0.41480938,"7-day click or 1-day view",3,4.34782609,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",45-54,female,2026-09-03,12,12,1,0.10117302,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",55-64,male,2026-09-03,19,20,1.05263158,0.19222874,"7-day click or 1-day view",2,10,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",45-54,male,2026-09-03,11,11,1,0.05058651,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Today's Dental - 2026",65+,male,2026-09-03,105,202,1.92380952,2.34118911,"7-day click or 1-day view",6,2.97029703,2026-09-03,2026-09-03
"Today's Dental - 2026",55-64,female,2026-09-03,143,220,1.53846154,2.11724928,"7-day click or 1-day view",3,1.36363636,2026-09-03,2026-09-03
"Catholic Cemeteries 2026",65+,unknown,2026-09-03,1,1,1,0,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"Controlled Comfort",25-34,female,2026-09-03,8,18,2.25,0.66538999,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"No Name Nutrition",25-34,male,2026-09-03,4,5,1.25,0.04015595,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"No Name Nutrition",35-44,male,2026-09-03,23,24,1.04347826,0.19074074,"7-day click or 1-day view",0,0,2026-09-03,2026-09-03
"No Name Nutrition",45-54,female,2026-09-03,44,47,1.06818182,0.50194932,"7-day click or 1-day view",2,4.25531915,2026-09-03,2026-09-03
